fecha,cod_ine,CCAA,total,tipo
2020-04-10,03,Asturias,100,uci
2020-04-11,03,Asturias,105,uci
2020-04-12,03,Asturias,106,uci
2020-04-13,03,Asturias,110,uci
2020-04-14,03,Asturias,111,uci
2020-04-15,03,Asturias,114,uci
2020-03-04,04,Baleares,0,uci
2020-03-05,04,Baleares,0,uci
2020-03-06,04,Baleares,0,uci
2020-03-09,04,Baleares,0,uci
2020-03-10,04,Baleares,1,uci
2020-03-11,04,Baleares,1,uci
2020-03-12,04,Baleares,2,uci
2020-03-13,04,Baleares,2,uci
2020-03-16,04,Baleares,4,uci
2020-03-17,04,Baleares,4,uci
2020-03-18,04,Baleares,4,uci
2020-03-19,04,Baleares,7,uci
2020-03-20,04,Baleares,10,uci
2020-03-21,04,Baleares,14,uci
2020-03-22,04,Baleares,14,uci
2020-03-23,04,Baleares,27,uci
2020-03-24,04,Baleares,35,uci
2020-03-25,04,Baleares,40,uci
2020-03-26,04,Baleares,43,uci
2020-03-27,04,Baleares,46,uci
2020-03-28,04,Baleares,59,uci
2020-03-29,04,Baleares,71,uci
2020-03-30,04,Baleares,80,uci
2020-03-31,04,Baleares,85,uci
2020-04-01,04,Baleares,95,uci
2020-04-02,04,Baleares,105,uci
2020-04-03,04,Baleares,112,uci
2020-04-04,04,Baleares,114,uci
2020-04-05,04,Baleares,120,uci
2020-04-06,04,Baleares,121,uci
2020-04-07,04,Baleares,124,uci
2020-04-08,04,Baleares,129,uci
2020-04-09,04,Baleares,132,uci
2020-04-10,04,Baleares,136,uci
2020-04-11,04,Baleares,137,uci
2020-04-12,04,Baleares,142,uci
2020-04-13,04,Baleares,143,uci
2020-04-14,04,Baleares,145,uci
2020-04-15,04,Baleares,149,uci
2020-03-04,05,Canarias,0,uci
2020-03-05,05,Canarias,0,uci
2020-03-06,05,Canarias,0,uci
2020-03-09,05,Canarias,0,uci
2020-03-10,05,Canarias,1,uci
2020-03-11,05,Canarias,1,uci
2020-03-12,05,Canarias,3,uci
2020-03-13,05,Canarias,2,uci
2020-03-16,05,Canarias,9,uci
2020-03-17,05,Canarias,13,uci
2020-03-18,05,Canarias,17,uci
2020-03-19,05,Canarias,23,uci
2020-03-20,05,Canarias,25,uci
2020-03-21,05,Canarias,29,uci
2020-03-22,05,Canarias,32,uci
2020-03-23,05,Canarias,32,uci
2020-03-24,05,Canarias,36,uci
2020-03-25,05,Canarias,43,uci
2020-03-26,05,Canarias,45,uci
2020-03-27,05,Canarias,61,uci
2020-03-28,05,Canarias,68,uci
2020-03-29,05,Canarias,78,uci
2020-03-30,05,Canarias,84,uci
2020-03-31,05,Canarias,94,uci
2020-04-01,05,Canarias,110,uci
2020-04-02,05,Canarias,113,uci
2020-04-03,05,Canarias,120,uci
2020-04-04,05,Canarias,128,uci
2020-04-05,05,Canarias,129,uci
2020-04-06,05,Canarias,133,uci
2020-04-07,05,Canarias,137,uci
2020-04-08,05,Canarias,138,uci
2020-04-09,05,Canarias,140,uci
2020-04-10,05,Canarias,141,uci
2020-04-11,05,Canarias,144,uci
2020-04-12,05,Canarias,144,uci
2020-04-13,05,Canarias,145,uci
2020-04-14,05,Canarias,147,uci
2020-04-15,05,Canarias,152,uci
2020-03-04,06,Cantabria,0,uci
2020-03-05,06,Cantabria,0,uci
2020-03-06,06,Cantabria,0,uci
2020-03-09,06,Cantabria,0,uci
2020-03-10,06,Cantabria,0,uci
2020-03-11,06,Cantabria,0,uci
2020-03-12,06,Cantabria,0,uci
2020-03-13,06,Cantabria,0,uci
2020-03-16,06,Cantabria,2,uci
2020-03-17,06,Cantabria,2,uci
2020-03-18,06,Cantabria,3,uci
2020-03-19,06,Cantabria,4,uci
2020-03-20,06,Cantabria,7,uci
2020-03-21,06,Cantabria,9,uci
2020-03-22,06,Cantabria,9,uci
2020-03-23,06,Cantabria,14,uci
2020-03-24,06,Cantabria,16,uci
2020-03-25,06,Cantabria,18,uci
2020-03-26,06,Cantabria,26,uci
2020-03-27,06,Cantabria,29,uci
2020-03-28,06,Cantabria,37,uci
2020-03-29,06,Cantabria,40,uci
2020-03-30,06,Cantabria,46,uci
2020-03-31,06,Cantabria,50,uci
2020-04-01,06,Cantabria,54,uci
2020-04-02,06,Cantabria,57,uci
2020-04-03,06,Cantabria,59,uci
2020-04-04,06,Cantabria,60,uci
2020-04-05,06,Cantabria,62,uci
2020-04-06,06,Cantabria,65,uci
2020-04-07,06,Cantabria,66,uci
2020-04-08,06,Cantabria,69,uci
2020-04-09,06,Cantabria,71,uci
2020-04-10,06,Cantabria,73,uci
2020-04-11,06,Cantabria,75,uci
2020-04-12,06,Cantabria,75,uci
2020-04-13,06,Cantabria,75,uci
2020-04-14,06,Cantabria,76,uci
2020-04-15,06,Cantabria,76,uci
2020-03-04,08,Castilla-La Mancha,1,uci
2020-03-05,08,Castilla-La Mancha,1,uci
2020-03-06,08,Castilla-La Mancha,1,uci
2020-03-09,08,Castilla-La Mancha,2,uci
2020-03-10,08,Castilla-La Mancha,2,uci
2020-03-11,08,Castilla-La Mancha,5,uci
2020-03-12,08,Castilla-La Mancha,9,uci
2020-03-13,08,Castilla-La Mancha,10,uci
2020-03-16,08,Castilla-La Mancha,23,uci
2020-03-17,08,Castilla-La Mancha,23,uci
2020-03-18,08,Castilla-La Mancha,29,uci
2020-03-19,08,Castilla-La Mancha,37,uci
2020-03-20,08,Castilla-La Mancha,53,uci
2020-03-21,08,Castilla-La Mancha,65,uci
2020-03-22,08,Castilla-La Mancha,76,uci
2020-03-23,08,Castilla-La Mancha,142,uci
2020-03-24,08,Castilla-La Mancha,182,uci
2020-03-25,08,Castilla-La Mancha,210,uci
2020-03-26,08,Castilla-La Mancha,243,uci
2020-03-27,08,Castilla-La Mancha,273,uci
2020-03-28,08,Castilla-La Mancha,289,uci
2020-03-29,08,Castilla-La Mancha,299,uci
2020-03-30,08,Castilla-La Mancha,302,uci
2020-03-31,08,Castilla-La Mancha,344,uci
2020-04-01,08,Castilla-La Mancha,353,uci
2020-04-02,08,Castilla-La Mancha,355,uci
2020-04-03,08,Castilla-La Mancha,355,uci
2020-04-04,08,Castilla-La Mancha,360,uci
2020-04-05,08,Castilla-La Mancha,357,uci
2020-04-06,08,Castilla-La Mancha,354,uci
2020-04-07,08,Castilla-La Mancha,360,uci
2020-04-08,08,Castilla-La Mancha,354,uci
2020-04-09,08,Castilla-La Mancha,342,uci
2020-04-10,08,Castilla-La Mancha,329,uci
2020-04-11,08,Castilla-La Mancha,316,uci
2020-04-12,08,Castilla-La Mancha,316,uci
2020-04-13,08,Castilla-La Mancha,475,uci
2020-04-14,08,Castilla-La Mancha,486,uci
2020-04-15,08,Castilla-La Mancha,495,uci
2020-03-04,07,Castilla y León,1,uci
2020-03-05,07,Castilla y León,1,uci
2020-03-06,07,Castilla y León,1,uci
2020-03-09,07,Castilla y León,1,uci
2020-03-10,07,Castilla y León,2,uci
2020-03-11,07,Castilla y León,2,uci
2020-03-12,07,Castilla y León,4,uci
2020-03-13,07,Castilla y León,8,uci
2020-03-16,07,Castilla y León,24,uci
2020-03-17,07,Castilla y León,24,uci
2020-03-18,07,Castilla y León,43,uci
2020-03-19,07,Castilla y León,54,uci
2020-03-20,07,Castilla y León,69,uci
2020-03-21,07,Castilla y León,85,uci
2020-03-22,07,Castilla y León,106,uci
2020-03-23,07,Castilla y León,120,uci
2020-03-24,07,Castilla y León,137,uci
2020-03-25,07,Castilla y León,170,uci
2020-03-26,07,Castilla y León,202,uci
2020-03-27,07,Castilla y León,228,uci
2020-03-28,07,Castilla y León,249,uci
2020-03-29,07,Castilla y León,278,uci
2020-03-30,07,Castilla y León,307,uci
2020-03-31,07,Castilla y León,325,uci
2020-04-01,07,Castilla y León,345,uci
2020-04-02,07,Castilla y León,353,uci
2020-04-03,07,Castilla y León,355,uci
2020-04-04,07,Castilla y León,348,uci
2020-04-05,07,Castilla y León,351,uci
2020-04-06,07,Castilla y León,348,uci
2020-04-07,07,Castilla y León,346,uci
2020-04-08,07,Castilla y León,342,uci
2020-04-09,07,Castilla y León,338,uci
2020-04-10,07,Castilla y León,332,uci
2020-04-11,07,Castilla y León,327,uci
2020-04-12,07,Castilla y León,323,uci
2020-04-13,07,Castilla y León,312,uci
2020-04-14,07,Castilla y León,308,uci
2020-04-15,07,Castilla y León,306,uci
2020-03-04,09,Cataluña,0,uci
2020-03-05,09,Cataluña,0,uci
2020-03-06,09,Cataluña,0,uci
2020-03-09,09,Cataluña,0,uci
2020-03-10,09,Cataluña,0,uci
2020-03-11,09,Cataluña,0,uci
2020-03-12,09,Cataluña,0,uci
2020-03-13,09,Cataluña,25,uci
2020-03-16,09,Cataluña,33,uci
2020-03-17,09,Cataluña,33,uci
2020-03-18,09,Cataluña,33,uci
2020-03-19,09,Cataluña,33,uci
2020-03-20,09,Cataluña,33,uci
2020-03-21,09,Cataluña,298,uci
2020-03-22,09,Cataluña,298,uci
2020-03-23,09,Cataluña,551,uci
2020-03-24,09,Cataluña,551,uci
2020-03-25,09,Cataluña,781,uci
2020-03-26,09,Cataluña,1021,uci
2020-03-27,09,Cataluña,1187,uci
2020-03-28,09,Cataluña,1324,uci
2020-03-29,09,Cataluña,1391,uci
2020-03-30,09,Cataluña,1512,uci
2020-03-31,09,Cataluña,1652,uci
2020-04-01,09,Cataluña,1769,uci
2020-04-02,09,Cataluña,1855,uci
2020-04-03,09,Cataluña,2053,uci
2020-04-04,09,Cataluña,2108,uci
2020-04-05,09,Cataluña,2249,uci
2020-04-06,09,Cataluña,2276,uci
2020-04-07,09,Cataluña,2391,uci
2020-04-08,09,Cataluña,2442,uci
2020-04-09,09,Cataluña,2507,uci
2020-04-10,09,Cataluña,2582,uci
2020-04-11,09,Cataluña,2629,uci
2020-04-12,09,Cataluña,2658,uci
2020-04-13,09,Cataluña,2713,uci
2020-04-14,09,Cataluña,2775,uci
2020-04-15,09,Cataluña,2789,uci
2020-03-04,18,Ceuta,0,uci
2020-03-05,18,Ceuta,0,uci
